random_idx,input_sentence1,input_sentence2,input_sentence3,input_sentence4,candidate_sentence1,candidate_sentence2,label
13307,"Thomasina: Septimus, what is carnal embrace?",Septimus: Carnal embrace is the practice of throwing one's arms around a side of beef.,Thomasina: Is that all?,"Septimus: No ... a shoulder of mutton, a haunch of venison well hugged, an embrace of grouse . . . caro, carnis; feminine; flesh.",Septimus: In which county?,Thomasina: Is it a sin?,2
784182,Septimus: Carnal embrace is the practice of throwing one's arms around a side of beef.,Thomasina: Is that all?,"Septimus: No ... a shoulder of mutton, a haunch of venison well hugged, an embrace of grouse . . . caro, carnis; feminine; flesh.",Thomasina: Is it a sin?,Hannah: The records are unusually complete and they have never been worked on.,"Septimus: Not necessarily, my lady, but when carnal embrace is sinful it is a sin of",2
836946,Thomasina: Is that all?,"Septimus: No ... a shoulder of mutton, a haunch of venison well hugged, an embrace of grouse . . . caro, carnis; feminine; flesh.",Thomasina: Is it a sin?,"Septimus: Not necessarily, my lady, but when carnal embrace is sinful it is a sin of",Hannah: Think of it as a breakthrough in dahlia studies.,"Thomasina: That was the sin of Onan, wasn't it, Septimus?",2
471242,"Septimus: No ... a shoulder of mutton, a haunch of venison well hugged, an embrace of grouse . . . caro, carnis; feminine; flesh.",Thomasina: Is it a sin?,"Septimus: Not necessarily, my lady, but when carnal embrace is sinful it is a sin of","Thomasina: That was the sin of Onan, wasn't it, Septimus?",Septimus: Yes. He was giving his brother's wife a Latin lesson and she was hardly,Septimus: It is my intent.,1
228426,Thomasina: Is it a sin?,"Septimus: Not necessarily, my lady, but when carnal embrace is sinful it is a sin of","Thomasina: That was the sin of Onan, wasn't it, Septimus?",Septimus: Yes. He was giving his brother's wife a Latin lesson and she was hardly,"Thomasina: It is very difficult, Septimus. You will have to show me how.",Thomasina: You must.,1
547259,"Septimus: Not necessarily, my lady, but when carnal embrace is sinful it is a sin of","Thomasina: That was the sin of Onan, wasn't it, Septimus?",Septimus: Yes. He was giving his brother's wife a Latin lesson and she was hardly,"Thomasina: It is very difficult, Septimus. You will have to show me how.","Septimus: If I knew how, there would be no need to ask you. Fermat's last theorem","Hannah: (Reading) 'October 1st, 1810. Today under the direction of Mr Noakes, a",1
149790,"Thomasina: That was the sin of Onan, wasn't it, Septimus?",Septimus: Yes. He was giving his brother's wife a Latin lesson and she was hardly,"Thomasina: It is very difficult, Septimus. You will have to show me how.","Septimus: If I knew how, there would be no need to ask you. Fermat's last theorem",Thomasina: Our Mr Chater has written a poem?,"Hannah: Are you tight, Val?",1
576318,Septimus: Yes. He was giving his brother's wife a Latin lesson and she was hardly,"Thomasina: It is very difficult, Septimus. You will have to show me how.","Septimus: If I knew how, there would be no need to ask you. Fermat's last theorem",Thomasina: Our Mr Chater has written a poem?,Hannah: The important thing is not to give two monkeys for what young people,"Septimus: He believes he has written a poem, yes. I can see that there might be",2
525199,"Thomasina: It is very difficult, Septimus. You will have to show me how.","Septimus: If I knew how, there would be no need to ask you. Fermat's last theorem",Thomasina: Our Mr Chater has written a poem?,"Septimus: He believes he has written a poem, yes. I can see that there might be","Thomasina: Oh, it was not my algebra. I heard Jellaby telling the cook that Mrs","Thomasina: The Count plays for us, it is God-given! I cannot be seventeen and not",1
916699,"Septimus: If I knew how, there would be no need to ask you. Fermat's last theorem",Thomasina: Our Mr Chater has written a poem?,"Septimus: He believes he has written a poem, yes. I can see that there might be","Thomasina: Oh, it was not my algebra. I heard Jellaby telling the cook that Mrs","Hannah: Well, of course. Dignified congratulations to a colleague, in the language","Septimus: (Pause) Really? With whom, did Jellaby happen to say?",2
414069,Thomasina: Our Mr Chater has written a poem?,"Septimus: He believes he has written a poem, yes. I can see that there might be","Thomasina: Oh, it was not my algebra. I heard Jellaby telling the cook that Mrs","Septimus: (Pause) Really? With whom, did Jellaby happen to say?","Septimus: Oh, very well, (Septimus takes the letter.) Thank you. (And to",Septimus: With what? Exactly so. The idea is absurd. Where did this story come,2
73914,"Septimus: He believes he has written a poem, yes. I can see that there might be","Thomasina: Oh, it was not my algebra. I heard Jellaby telling the cook that Mrs","Septimus: (Pause) Really? With whom, did Jellaby happen to say?",Septimus: With what? Exactly so. The idea is absurd. Where did this story come,Valentine: Are you leaving?,Thomasina: Mr Noakes.,2
258071,"Thomasina: Oh, it was not my algebra. I heard Jellaby telling the cook that Mrs","Septimus: (Pause) Really? With whom, did Jellaby happen to say?",Septimus: With what? Exactly so. The idea is absurd. Where did this story come,Thomasina: Mr Noakes.,Septimus: Mr Noakes!,Septimus: (With his eyes on the letter) Why have you stopped?,1
774060,"Septimus: (Pause) Really? With whom, did Jellaby happen to say?",Septimus: With what? Exactly so. The idea is absurd. Where did this story come,Thomasina: Mr Noakes.,Septimus: Mr Noakes!,Thomasina: Papa's landskip gardener. He was taking bearings in the garden when,Bernard: Nothing I can go into -,1
45060,Septimus: With what? Exactly so. The idea is absurd. Where did this story come,Thomasina: Mr Noakes.,Septimus: Mr Noakes!,Thomasina: Papa's landskip gardener. He was taking bearings in the garden when,Septimus: And do you mean to tell me that Mr Noakes told the butler?,Bernard: Please.,1
179452,Thomasina: Mr Noakes.,Septimus: Mr Noakes!,Thomasina: Papa's landskip gardener. He was taking bearings in the garden when,Septimus: And do you mean to tell me that Mr Noakes told the butler?,Thomasina: Cheat!,"Thomasina: No. Mr Noakes told Mr Chater .Jellaby was told by the groom, who",2
522917,Septimus: Mr Noakes!,Thomasina: Papa's landskip gardener. He was taking bearings in the garden when,Septimus: And do you mean to tell me that Mr Noakes told the butler?,"Thomasina: No. Mr Noakes told Mr Chater .Jellaby was told by the groom, who",Septimus: Mr Chater being engaged in closing the stable door.,"Septimus: I do not understand the scheme, Chater. Whom do I address when I want",1
252420,Thomasina: Papa's landskip gardener. He was taking bearings in the garden when,Septimus: And do you mean to tell me that Mr Noakes told the butler?,"Thomasina: No. Mr Noakes told Mr Chater .Jellaby was told by the groom, who",Septimus: Mr Chater being engaged in closing the stable door.,"Thomasina: What do you mean, Septimus?",Valentine: Was your letter typewritten?,1
46781,Septimus: And do you mean to tell me that Mr Noakes told the butler?,"Thomasina: No. Mr Noakes told Mr Chater .Jellaby was told by the groom, who",Septimus: Mr Chater being engaged in closing the stable door.,"Thomasina: What do you mean, Septimus?","Septimus: So, thus far, the only people who know about this are Mr Noakes the",Bernard: Yes. Thank you. I'm Bernard Nigh— I've come to see Miss Jarvis. I wrote,1
651529,"Thomasina: No. Mr Noakes told Mr Chater .Jellaby was told by the groom, who",Septimus: Mr Chater being engaged in closing the stable door.,"Thomasina: What do you mean, Septimus?","Septimus: So, thus far, the only people who know about this are Mr Noakes the",Valentine: My mother's lent him her bicycle. Lending one's bicycle is a form of,"Thomasina: And Arthur who was cleaning the silver, and the bootboy. And now",2
482024,Septimus: Mr Chater being engaged in closing the stable door.,"Thomasina: What do you mean, Septimus?","Septimus: So, thus far, the only people who know about this are Mr Noakes the","Thomasina: And Arthur who was cleaning the silver, and the bootboy. And now",Bernard: But I'm not a scientist.,Septimus: Of course. What else did he say?,2
313049,"Thomasina: What do you mean, Septimus?","Septimus: So, thus far, the only people who know about this are Mr Noakes the","Thomasina: And Arthur who was cleaning the silver, and the bootboy. And now",Septimus: Of course. What else did he say?,Thomasina: Mr Noakes?,Thomasina: Who is the poet?,1
810493,"Septimus: So, thus far, the only people who know about this are Mr Noakes the","Thomasina: And Arthur who was cleaning the silver, and the bootboy. And now",Septimus: Of course. What else did he say?,Thomasina: Mr Noakes?,"Septimus: No, not Mr Noakes. Jellaby. You heard Jellaby telling the cook.",Lady Croom: Certainly not.,1
