random_idx,input_sentence1,input_sentence2,input_sentence3,input_sentence4,candidate_sentence1,candidate_sentence2,label
594817,"forward, to the right, rear, and can be seen in the distance winding","toward the horizon like a pale ribbon between the low, rolling hills","with their freshly plowed fields clearly divided from each other,","checkerboard fashion, by the lines of stone walls and rough snake",fences._,study for a mate’s c’tificate right off--and it’ll give him a trade for,1
41194,"toward the horizon like a pale ribbon between the low, rolling hills","with their freshly plowed fields clearly divided from each other,","checkerboard fashion, by the lines of stone walls and rough snake",fences._,the dark earth of which myriad bright-green blades of fall-sown rye are,that. And you’ve got years and years before you.,1
169322,"with their freshly plowed fields clearly divided from each other,","checkerboard fashion, by the lines of stone walls and rough snake",fences._,the dark earth of which myriad bright-green blades of fall-sown rye are,to get here directly.,"sprouting. A straggling line of piled rocks, too low to be called a",2
812730,"checkerboard fashion, by the lines of stone walls and rough snake",fences._,the dark earth of which myriad bright-green blades of fall-sown rye are,"sprouting. A straggling line of piled rocks, too low to be called a",ROBERT. (_laughing_) Or picture me plowing.,"wall, separates this field from the road._",2
808890,fences._,the dark earth of which myriad bright-green blades of fall-sown rye are,"sprouting. A straggling line of piled rocks, too low to be called a","wall, separates this field from the road._","far side. From the center of this an old, gnarled apple tree, just","shoulder_) It’s no use fussing any more, Rob. It’s done. (_Forcing a",1
559202,the dark earth of which myriad bright-green blades of fall-sown rye are,"sprouting. A straggling line of piled rocks, too low to be called a","wall, separates this field from the road._","far side. From the center of this an old, gnarled apple tree, just","budding into leaf, strains its twisted branches heavenwards, black","ship sailing there for quite a while, likely. Anyway, I want to stay to",1
90381,"sprouting. A straggling line of piled rocks, too low to be called a","wall, separates this field from the road._","far side. From the center of this an old, gnarled apple tree, just","budding into leaf, strains its twisted branches heavenwards, black",against the pallor of distance. A snake-fence sidles from left to right,take things into consideration? Why can’t we pull together? We used to.,1
495779,"wall, separates this field from the road._","far side. From the center of this an old, gnarled apple tree, just","budding into leaf, strains its twisted branches heavenwards, black",against the pallor of distance. A snake-fence sidles from left to right,"along the top of the bank, passing beneath the apple tree._",under the table; a hoe stands in a corner; a man’s coat is flung on the,1
690280,"far side. From the center of this an old, gnarled apple tree, just","budding into leaf, strains its twisted branches heavenwards, black",against the pallor of distance. A snake-fence sidles from left to right,"along the top of the bank, passing beneath the apple tree._",ROBERT. In wheat?,"hills are still rimmed by a faint line of flame, and the sky above them",2
282510,"budding into leaf, strains its twisted branches heavenwards, black",against the pallor of distance. A snake-fence sidles from left to right,"along the top of the bank, passing beneath the apple tree._","hills are still rimmed by a faint line of flame, and the sky above them",FAWCETT. (_calmly_) Your brother hasn’t long to live--perhaps a few,glows with the crimson flush of the sunset. This fades gradually as the,2
146563,against the pallor of distance. A snake-fence sidles from left to right,"along the top of the bank, passing beneath the apple tree._","hills are still rimmed by a faint line of flame, and the sky above them",glows with the crimson flush of the sunset. This fades gradually as the,action of the scene progresses._,"MAYO. (_looking at her over his glasses--consolingly_) There, Katey!",1
729639,"along the top of the bank, passing beneath the apple tree._","hills are still rimmed by a faint line of flame, and the sky above them",glows with the crimson flush of the sunset. This fades gradually as the,action of the scene progresses._,before_ MRS. MAYO.,"fence. He is a tall, slender young man of twenty-three. There is a touch",2
932958,"hills are still rimmed by a faint line of flame, and the sky above them",glows with the crimson flush of the sunset. This fades gradually as the,action of the scene progresses._,"fence. He is a tall, slender young man of twenty-three. There is a touch","of the poet about him expressed in his high forehead and wide, dark",ANDREW. I’ll go to the house and repack my bag right away.,1
69860,glows with the crimson flush of the sunset. This fades gradually as the,action of the scene progresses._,"fence. He is a tall, slender young man of twenty-three. There is a touch","of the poet about him expressed in his high forehead and wide, dark",SCOTT. (_argumentatively_) And there ain’t no cause to be wearin’,"eyes. His features are delicate and refined, leaning to weakness in the",2
451095,action of the scene progresses._,"fence. He is a tall, slender young man of twenty-three. There is a touch","of the poet about him expressed in his high forehead and wide, dark","eyes. His features are delicate and refined, leaning to weakness in the",mouth and chin. He is dressed in gray corduroy trousers pushed into high,"me, won’t you?",1
798760,"fence. He is a tall, slender young man of twenty-three. There is a touch","of the poet about him expressed in his high forehead and wide, dark","eyes. His features are delicate and refined, leaning to weakness in the",mouth and chin. He is dressed in gray corduroy trousers pushed into high,"MRS. MAYO. (_warningly_) Sss-h-h! (_The door from the yard opens, and_","laced boots, and a blue flannel shirt with a bright colored tie. He is",2
122090,"of the poet about him expressed in his high forehead and wide, dark","eyes. His features are delicate and refined, leaning to weakness in the",mouth and chin. He is dressed in gray corduroy trousers pushed into high,"laced boots, and a blue flannel shirt with a bright colored tie. He is","reading a book by the fading sunset light. He shuts this, keeping a",not boasting of. I took to speculating.,1
804181,"eyes. His features are delicate and refined, leaning to weakness in the",mouth and chin. He is dressed in gray corduroy trousers pushed into high,"laced boots, and a blue flannel shirt with a bright colored tie. He is","reading a book by the fading sunset light. He shuts this, keeping a","finger in to mark the place, and turns his head toward the horizon,",that and told him.,1
738902,mouth and chin. He is dressed in gray corduroy trousers pushed into high,"laced boots, and a blue flannel shirt with a bright colored tie. He is","reading a book by the fading sunset light. He shuts this, keeping a","finger in to mark the place, and turns his head toward the horizon,",gazing out over the fields and hills. His lips move as if he were,"little in appearance, except for the fact that his face has been deeply",1
923846,"laced boots, and a blue flannel shirt with a bright colored tie. He is","reading a book by the fading sunset light. He shuts this, keeping a","finger in to mark the place, and turns his head toward the horizon,",gazing out over the fields and hills. His lips move as if he were,shaking finger_) Yes--go!--go!--You’re no son o’ mine--no son o’ mine!,reciting something to himself._,2
371162,"reading a book by the fading sunset light. He shuts this, keeping a","finger in to mark the place, and turns his head toward the horizon,",gazing out over the fields and hills. His lips move as if he were,reciting something to himself._,"from his work in the fields. He is twenty-seven years old, an opposite",work the place on a salary and percentage. That’ll take it off of Rob’s,1
296026,"finger in to mark the place, and turns his head toward the horizon,",gazing out over the fields and hills. His lips move as if he were,reciting something to himself._,"from his work in the fields. He is twenty-seven years old, an opposite","type to_ ROBERT--_husky, sun-bronzed, handsome in a large-featured,",hear the old voices calling me to come---- (_Exultantly_) And this time,1
42712,gazing out over the fields and hills. His lips move as if he were,reciting something to himself._,"from his work in the fields. He is twenty-seven years old, an opposite","type to_ ROBERT--_husky, sun-bronzed, handsome in a large-featured,",all right. (_At this mention of the trip they both fall silent. There is,"manly fashion--a son of the soil, intelligent in a shrewd way, but with",2
661133,reciting something to himself._,"from his work in the fields. He is twenty-seven years old, an opposite","type to_ ROBERT--_husky, sun-bronzed, handsome in a large-featured,","manly fashion--a son of the soil, intelligent in a shrewd way, but with","nothing of the intellectual about him. He wears overalls, leather boots,",I want to be alone. (ANDREW _reappears and shuts the door softly. He,1
34259,"from his work in the fields. He is twenty-seven years old, an opposite","type to_ ROBERT--_husky, sun-bronzed, handsome in a large-featured,","manly fashion--a son of the soil, intelligent in a shrewd way, but with","nothing of the intellectual about him. He wears overalls, leather boots,","a gray flannel shirt open at the neck, and a soft, mud-stained hat",ANDREW. I should say you were nutty.,1
943815,"type to_ ROBERT--_husky, sun-bronzed, handsome in a large-featured,","manly fashion--a son of the soil, intelligent in a shrewd way, but with","nothing of the intellectual about him. He wears overalls, leather boots,","a gray flannel shirt open at the neck, and a soft, mud-stained hat",ANDREW. Yes. I’m going. I’ve got to. (_He looks at his father,"pushed back on his head. He stops to talk to_ ROBERT, _leaning on the",2
109691,"manly fashion--a son of the soil, intelligent in a shrewd way, but with","nothing of the intellectual about him. He wears overalls, leather boots,","a gray flannel shirt open at the neck, and a soft, mud-stained hat","pushed back on his head. He stops to talk to_ ROBERT, _leaning on the",hoe he carries_.,appetite_).,1
975464,"nothing of the intellectual about him. He wears overalls, leather boots,","a gray flannel shirt open at the neck, and a soft, mud-stained hat","pushed back on his head. He stops to talk to_ ROBERT, _leaning on the",hoe he carries_.,ANDREW. (_seeing_ ROBERT _has not noticed his presence--in a loud,"voice comes from the darkness_) Don’t sit there mourning, Rob. It’ll all",1
