sentence_id,sentence_1,sentence_2,sentence_3,sentence_4,candidate_1,candidate_2,label
0,ESTRAGON:(giving up again). Nothing to be done.,"VLADIMIR:(advancing with short, stiff strides, legs wide apart). I'm beginning to come roundto that opinion. All my life I've tried to put it from me, saying Vladimir, bereasonable, you haven't yet tried everything. And I resumed the struggle. (Hebroods, musing on the struggle. Turning to Estragon.) So there you are again.",ESTRAGON:Am I?,VLADIMIR:I'm glad to see you back. I thought you were gone forever.,ESTRAGON:Me too.,VLADIMIR:Show me.ESTRAGON:There's nothing to show.,1
1,"ESTRAGON:(irritably). Not now, not now.","VLADIMIR:(hurt, coldly). May one inquire where His Highness spent the night?",ESTRAGON:In a ditch.,VLADIMIR:(admiringly). A ditch! Where?,ESTRAGON:(without gesture). Over there.,VLADIMIR:I could have sworn I heard shouts.,1
2,ESTRAGON:Beat me? Certainly they beat me.,VLADIMIR:The same lot as usual?,ESTRAGON:The same? I don't know.,"VLADIMIR:When I think of it . . . all these years . . . but for me . . . where would you be . . .(Decisively.) You'd be nothing more than a little heap of bones at the presentminute, no doubt about it.",ESTRAGON:And what of it?,"VLADIMIR:I must have made a note of it. (He fumbles in his pockets, bursting withmiscellaneous rubbish.)",1
3,ESTRAGON:Ah stop blathering and help me off with this bloody thing.,"VLADIMIR:Hand in hand from the top of the Eiffel Tower, among the first. We wererespectable in those days. Now it's too late. They wouldn't even let us up.(Estragon tears at his boot.) What are you doing?",ESTRAGON:Taking off my boot. Did that never happen to you?,"VLADIMIR:Boots must be taken off every day, I'm tired telling you that. Why don't you listento me?",VLADIMIR:Or perhaps it's not the season.,ESTRAGON:(feebly). Help me!,2
4,ESTRAGON:(angrily). Hurts! He wants to know if it hurts!,VLADIMIR:(angrily). No one ever suffers but you. I don't count. I'd like to hear what you'dsay if you had what I have.,ESTRAGON:It hurts?,VLADIMIR:(angrily). Hurts! He wants to know if it hurts!,ESTRAGON:(pointing). You might button it all the same.,VLADIMIR:Who?,1
5,"ESTRAGON:What do you expect, you always wait till the last moment.","VLADIMIR:(musingly). The last moment . . . (He meditates.) Hope deferred maketh thesomething sick, who said that?",ESTRAGON:Why don't you help me?,"VLADIMIR:Sometimes I feel it coming all the same. Then I go all queer. (He takes off his hat,peers inside it, feels about inside it, shakes it, puts it on again.) How shall I say?Relieved and at the same time . . . (he searches for the word) . . . appalled. (Withemphasis.) AP-PALLED. (He takes off his hat again, peers inside it.) Funny. (Heknocks on the crown as though to dislodge a foreign body, peers into it again,puts it on again.) Nothing to be done. (Estragon with a supreme effort succeeds inpulling off his boot. He peers inside it, feels about inside it, turns it upside down,shakes it, looks on the ground to see if anything has fallen out, finds nothing, feelsinside it again, staring sightlessly before him.) Well?",ESTRAGON:Nothing.,"POZZO:(who has followed these exchanges with anxious attention, fearing lest thequestion get lost). You want to know why he doesn't put down his bags, as youcall them.",1
6,VLADIMIR:Try and put it on again.,ESTRAGON:(examining his foot). I'll air it for a bit.,"VLADIMIR:There's man all over for you, blaming on his boots the faults of his feet. (He takesoff his hat again, peers inside it, feels about inside it, knocks on the crown, blowsinto it, puts it on again.) This is getting alarming. (Silence. Vladimir deep inthought, Estragon pulling at his toes.) One of the thieves was saved. (Pause.) It'sa reasonable percentage. (Pause.) Gogo.",ESTRAGON:What?,ESTRAGON:(gently.) You wanted to speak to me? (Silence. Estragon takes a step forward.)You had something to say to me? (Silence. Another step forward.) Didi . . .,VLADIMIR:Suppose we repented.,2
7,VLADIMIR:Oh . . . (He reflects.) We wouldn't have to go into the details.,"ESTRAGON:Our being born?Vladimir breaks into a hearty laugh which he immediately stifles, his handpressed to his pubis, his face contorted.",VLADIMIR:One daren't even laugh any more.,ESTRAGON:Dreadful privation.,VLADIMIR:It's inevitable.,"VLADIMIR:Merely smile. (He smiles suddenly from ear to ear, keeps smiling, ceases assuddenly.) It's not the same thing. Nothing to be done. (Pause.) Gogo.",2
8,VLADIMIR:Did you ever read the Bible?,ESTRAGON:The Bible . . . (He reflects.) I must have taken a look at it.,VLADIMIR:Do you remember the Gospels?,"ESTRAGON:I remember the maps of the Holy Land. Coloured they were. Very pretty. TheDead Sea was pale blue. The very look of it made me thirsty. That's where we'llgo, I used to say, that's where we'll go for our honeymoon. We'll swim. We'll behappy.",VLADIMIR:You should have been a poet.ESTRAGON:I was. (Gesture towards his rags.) Isn't that obvious?Silence.,VLADIMIR:That's how we looked at it.,1
9,ESTRAGON:Swelling visibly.,"VLADIMIR:Ah yes, the two thieves. Do you remember the story?",ESTRAGON:No.,VLADIMIR:Shall I tell it to you?,ESTRAGON:No.,VLADIMIR:We can't.,1
