id,inputSetence1,inputSetence2,inputSetence3,inputSetence4,randomFifthSentence1,randomFifthSentence2,answerRightEnd
0,"Fade in on a jury box. Twelve men are seated in it, listening intently to the voice of the judge as he charges
them. We do not see the judge. He speaks in slow, measured tones, and his voice is grave. The camera drifts
over the faces of the jurymen as the judge speaks, and we see that most of their heads are turned to camera's
left. NO. 7 looks down at his hands. NO. 3 looks off in another direction, the direction in which the defendant
would be sitting. NO. 10 keeps moving his head back and forth nervously. The judge drones on.","
JUDGE: Murder in the first degree—premeditated homicide—is the most serious charge tried in our criminal
courts. You've heard a long and complex case, gentlemen, and it is now your duty to sit down to try and
separate the facts from the fancy. One man is dead. The life of another is at stake. If there is a reasonable doubt
in your minds as to the guilt of the accused . . . then you must declare him not guilty. If, however, there is no
reasonable doubt, then he must be found guilty. Whichever way you decide, the verdict must be unanimous. I
urge you to deliberate honestly and thoughtfully. You are faced with a grave responsibility. Thank you,
gentlemen.",[There is a long pause.],CLERK: (droning). The jury will retire.,"NO. 3: Look, you're not going to be satisfied till you see it again. I'm going to give you a demonstration.
Somebody get up.","[And now, slowly, almost hesitantly, the members of the jury begin to rise. Awkwardly, they file out of the jury
box and off camera to the left. Camera holds on jury box, and then fades out].",2
1,"[Fade in on a large bare, unpleasant-looking room. This is the jury room in the county criminal court of a large
Eastern city. It is about 4:00 P.M. The room is furnished with a long conference table and a dozen chairs. The
walls are bare, drab and badly in need of a fresh coat of paint. Along one wall is a row of windows, which look
out on the skyline of the city's financial district. High on another wall is an electric clock. A washroom opens off
the jury room. In one corner of the room is a water fountain. On the table are pads, pencils, and ashtrays. One
of the windows is open. Papers blow across the table and onto the floor as the door opens. Lettered on the
outside of the door are the words ""Jury Room"". A uniformed guard holds the door open. Slowly, almost self-
consciously, the twelve jurors file in. The guard counts them as they enter the door, his lips moving, but no
sound coming forth. Four or five of the jurors light cigarettes as they enter the room. Juror NO. 5 lights his
pipe, which he smokes constantly throughout the play. Jurors NO. 2 and 12 go to the water fountain. NO. 9
goes into the washroom, the door of which is lettered ""Men."" Several of the jurors take seats at the table. Others
stand awkwardly around the room. Several look out the windows. These are men who are ill at ease, who do not
really know each other to talk to and who wish they were anywhere but here. NO. 7, standing at window, takes
out a pack of gum, takes a piece, and offers it around. There are no takers. He mops his brow.]","NO. 7: (to NO. 6). Y' know something? It's hot. (NO. 6 nods.) You'd think they'd at least air condition the place.
I almost dropped dead in court.","[NO. 7 opens the window a bit wider. The guard looks them over and checks his count. Then, satisfied, he
makes ready to leave.]","GUARD: Okay, gentlemen. Everybody's here. If there's anything you want, I'm right outside. Just knock.
[He exits, closing the door. Silently they all look at the door. We hear the lock clicking.]",NO. 5: I never knew they locked the door.,"NO.10: I don't understand you people. How can you believe this kid is innocent? Look, you know how those
people lie. l don't have to tell you. They don't know what the truth is. And lemme tell you, they— (NO.5 gets up
from table, turns his back to it, and goes to window.)—don't need any real big reason to kill someone either.
You know, they get drunk, and bang, someone's lying in the gutter. Nobody's blaming them. That's how they
are. You know what I mean? Violent!",1
2,"NO. 10: (blowing nose). Sure, they lock the door. What did you think?",NO. 5: I don't know. It just never occurred to me.,"[Some of the jurors are taking off their jackets. Others are sitting down at the table. They still are reluctant to
talk to each other. FOREMAN is at head of table, tearing slips of paper for ballots. Now we get a close shot of
NO. 8: He looks out the window. We hear NO. 3 talking to NO. 2]","NO. 3: Six days. They should have finished it in two. Talk, talk, talk. Did you ever hear so much talk about
nothing?",NO. 8: What's the time?,NO. 2: (nervously laughing). Well… I guess . . . they're entitled.,2
3,"NO. 3: Everybody gets a fair trial. (He shakes his head.) That's the system. Well, I suppose you can't say
anything against it.","[NO.2 looks at him nervously, nods, and goes over to water cooler. Cut to shot of NO. 8 staring out window.
Cut to table. NO.7 stands at the table, puffing out a cigarette.]",NO.7: (to NO.10). How did you like that business about the knife? Did you ever hear a phonier story?,"NO.10: (wisely). Well, look, you've gotta expect that. You know what you're dealing with.","GUARD: Okay, gentlemen. Everybody's here. If there's anything you want, I'm right outside. Just knock.
[He exits, closing the door. Silently they all look at the door. We hear the lock clicking.]","NO.7: Yeah, I suppose. What's the matter, you got a cold?",2
4,NO.10: (blowing). A lulu. These hot-weather colds can kill you.,[NO.7 nods sympathetically.],"FOREMAN: (briskly). All right, gentlemen. Let's take our seats.","NO.7: Right. This better be fast.' I've got tickets to The Seven Year Itch tonight. I must be the only guy in the
whole world who hasn't seen it yet. (He laughs and sits down.) Okay, your honor, start the show.",NO. 2: Not clearly. Why?,"[They all begin to sit down. The foreman is seated at the head of the table. NO. 8 continues to look out the
window.]",2
5,"FOREMAN: (to NO. 8). How about sitting down? (NO. 8 doesn't hear him.) The gentleman at the window.
[NO 8 turns, startled.]",FOREMAN: How about sitting down?,NO. 8: Oh. I'm sorry. [He heads for a seat.],"NO.10: (to NO. 6). It's tough to figure, isn't it? A kid kills his father. Bing! Just like that. Well, it's the element.
They let the kids run wild. Maybe it serves ‘em right.
FOREMAN: Is everybody here?",NO. 5: I've lived in a slum all my life.,NO.12: The old man's inside.,2
6,"[The foreman turns to the washroom just as the door opens. NO. 9 comes out, embarrassed.]",FOREMAN: We'd like to get started.,"NO.9: Forgive me, gentlemen. I didn't mean to keep you waiting.",FOREMAN: It's all right. Find a seat.,"NO. 3: That's right. As far as I'm concerned, that's the most important testimony.",[NO. 9 heads for a seat and sits down. They look at the foreman expectantly.],2
7,"FOREMAN: AII right. Now, you gentlemen can handle this any way you want to. I mean, I'm not going to
make any rules. If we want to discuss it first and then vote, that's one way. Or we can vote right now to see how
we stand.","NO.7: Let's vote now. Who knows, maybe we can all go home.",NO. 10: Yeah. Let's see who's where.,NO. 3: Right. Let's vote now.,"NO.7: Yeah, I suppose. What's the matter, you got a cold?","FOREMAN: Anybody doesn't want to vote? (He looks around the table. There is no answer.) Okay, all those
voting guilty raise your hands.",2
8,"[Seven or eight hands go up immediately. Several others go up more slowly. Everyone looks around the table.
There are two hands not raised, NO. 9's and NO. 8's. NO. 9's hand goes up slowly now as the foreman counts.]","FOREMAN: Nine... ten ... eleven... That's eleven for guilty. Okay. Not guilty? (NO. 8's hand is raised.) One.
Right. Okay. Eleven to one, guilty. Now we know where we are.",NO. 3: (sarcastically) Somebody's in left field. (To NO. 8) You think he's not guilty?,NO. 8: (quietly). I don't know.,"NO. 9: For an old man who uses canes, it's a long walk.","NO. 3: I never saw a guiltier man in my life. You sat right in court and heard the same thing I did. The man's a
dangerous killer. You could see it.",2
9,NO. 8: He's nineteen years old.,"NO. 3: That's old enough. He knifed his own father, four inches into the chest. An innocent little nineteen-year
old kid. They proved it a dozen different ways. Do you want me to list them?",NO. 8: No.,"NO. 10: (to NO. 8). Well, do you believe his story?","NO. 8: I don't know whether I believe it or not. Maybe I don't.
NO. 7: So what'd you vote not guilty for?",NO. 5: I don't remember what he said. But I don't see how he could run.,1
